address,number,available_bike_stands,banking,bike_stands,position,last_update,bonus,name,available_bikes,contract_name,status
Wilton Terrace,39,18,True,20,"{'lat': 53.332383, 'lng': -6.252717}",1521487492000,False,WILTON TERRACE,2,Dublin,OPEN
Emmet Road,83,33,False,40,"{'lat': 53.340714, 'lng': -6.308191}",1521487230000,False,EMMET ROAD,7,Dublin,OPEN
Heuston Bridge (North),92,9,False,40,"{'lat': 53.347802, 'lng': -6.292432}",1521487574000,False,HEUSTON BRIDGE (NORTH),31,Dublin,OPEN
Leinster Street South,21,7,False,30,"{'lat': 53.34218, 'lng': -6.254485}",1521487424000,False,LEINSTER STREET SOUTH,23,Dublin,OPEN
Blackhall Place,88,28,False,30,"{'lat': 53.3488, 'lng': -6.281637}",1521487615000,False,BLACKHALL PLACE,2,Dublin,OPEN
address,number,available_bike_stands,banking,bike_stands,position,last_update,bonus,name,available_bikes,contract_name,status
Smithfield North,42,16,True,30,"{'lat': 53.349562, 'lng': -6.278198}",1521487912000,False,SMITHFIELD NORTH,14,Dublin,OPEN
Parnell Square North,30,18,True,20,"{'lat': 53.353462, 'lng': -6.265305}",1521488116000,False,PARNELL SQUARE NORTH,2,Dublin,OPEN
Clonmel Street,54,11,False,33,"{'lat': 53.336021, 'lng': -6.26298}",1521488103000,False,CLONMEL STREET,22,Dublin,OPEN
Mount Street Lower,56,1,False,40,"{'lat': 53.33796, 'lng': -6.24153}",1521487965000,False,MOUNT STREET LOWER,39,Dublin,OPEN
Christchurch Place,6,2,False,20,"{'lat': 53.343368, 'lng': -6.27012}",1521487652000,False,CHRISTCHURCH PLACE,18,Dublin,OPEN
Grantham Street,18,0,True,30,"{'lat': 53.334123, 'lng': -6.265436}",1521488130000,False,GRANTHAM STREET,30,Dublin,OPEN
Pearse Street,32,26,True,30,"{'lat': 53.344304, 'lng': -6.250427}",1521487742000,False,PEARSE STREET,4,Dublin,OPEN
York Street East,52,30,False,32,"{'lat': 53.338755, 'lng': -6.262003}",1521487532000,False,YORK STREET EAST,2,Dublin,OPEN
Excise Walk,48,22,False,40,"{'lat': 53.347777, 'lng': -6.244239}",1521487994000,False,EXCISE WALK,18,Dublin,OPEN
Fitzwilliam Square West,13,7,False,30,"{'lat': 53.336074, 'lng': -6.252825}",1521487959000,False,FITZWILLIAM SQUARE WEST,23,Dublin,OPEN
Portobello Road,43,11,True,30,"{'lat': 53.330091, 'lng': -6.268044}",1521487691000,False,PORTOBELLO ROAD,19,Dublin,OPEN
St. James Hospital (Central),81,34,False,40,"{'lat': 53.339983, 'lng': -6.295594}",1521487592000,False,ST. JAMES HOSPITAL (CENTRAL),6,Dublin,OPEN
Parnell Street,31,19,False,20,"{'lat': 53.350929, 'lng': -6.265125}",1521488057000,False,PARNELL STREET,1,Dublin,OPEN
Frederick Street South,98,21,True,30,"{'lat': 53.341515, 'lng': -6.256853}",1521487830000,False,FREDERICK STREET SOUTH,9,Dublin,OPEN
Fownes Street Upper,14,10,False,30,"{'lat': 53.344603, 'lng': -6.263371}",1521487746000,False,FOWNES STREET UPPER,20,Dublin,OPEN
Clarendon Row,1,13,False,31,"{'lat': 53.340927, 'lng': -6.262501}",1521487609000,False,CLARENDON ROW,18,Dublin,OPEN
Custom House,23,0,True,30,"{'lat': 53.348279, 'lng': -6.254662}",1521487818000,False,CUSTOM HOUSE,30,Dublin,CLOSED
Hanover Quay,68,21,True,40,"{'lat': 53.344115, 'lng': -6.237153}",1521487950000,False,HANOVER QUAY,19,Dublin,OPEN
Oliver Bond Street,74,23,False,30,"{'lat': 53.343893, 'lng': -6.280531}",1521488082000,False,OLIVER BOND STREET,7,Dublin,OPEN
Collins Barracks Museum,87,32,True,38,"{'lat': 53.347477, 'lng': -6.28525}",1521487975000,False,COLLINS BARRACKS MUSEUM,6,Dublin,OPEN
Brookfield Road,84,27,False,30,"{'lat': 53.339005, 'lng': -6.300217}",1521487635000,False,BROOKFIELD ROAD,3,Dublin,OPEN
Benson Street,90,0,False,40,"{'lat': 53.344153, 'lng': -6.233451}",1521487573000,False,BENSON STREET,0,Dublin,CLOSED
Earlsfort Terrace,11,29,False,30,"{'lat': 53.334019, 'lng': -6.258371}",1521487721000,False,EARLSFORT TERRACE,1,Dublin,OPEN
Golden Lane,17,5,False,20,"{'lat': 53.340803, 'lng': -6.267732}",1521487681000,False,GOLDEN LANE,15,Dublin,OPEN
Deverell Place,45,19,False,30,"{'lat': 53.351464, 'lng': -6.255265}",1521487960000,False,DEVERELL PLACE,11,Dublin,OPEN
John Street West,72,8,False,31,"{'lat': 53.343105, 'lng': -6.277167}",1521487982000,False,JOHN STREET WEST,23,Dublin,OPEN
Fenian Street,63,0,False,35,"{'lat': 53.341428, 'lng': -6.24672}",1521487545000,False,FENIAN STREET,35,Dublin,OPEN
South Dock Road,91,0,False,30,"{'lat': 53.341833, 'lng': -6.231291}",1521488086000,False,SOUTH DOCK ROAD,30,Dublin,OPEN
City Quay,99,22,False,30,"{'lat': 53.346637, 'lng': -6.246154}",1521487777000,False,CITY QUAY,8,Dublin,OPEN
Exchequer Street,9,1,False,24,"{'lat': 53.343034, 'lng': -6.263578}",1521487811000,False,EXCHEQUER STREET,23,Dublin,OPEN
The Point,67,19,False,40,"{'lat': 53.346867, 'lng': -6.230852}",1521487850000,False,THE POINT,21,Dublin,OPEN
Hatch Street,55,34,False,36,"{'lat': 53.33403, 'lng': -6.260714}",1521487651000,False,HATCH STREET,2,Dublin,OPEN
Lime Street,62,20,False,40,"{'lat': 53.346026, 'lng': -6.243576}",1521487790000,False,LIME STREET,20,Dublin,OPEN
Charlemont Street,5,35,False,40,"{'lat': 53.330662, 'lng': -6.260177}",1521487805000,False,CHARLEMONT PLACE,5,Dublin,OPEN
Kilmainham Gaol,97,32,True,40,"{'lat': 53.342113, 'lng': -6.310015}",1521487544000,False,KILMAINHAM GAOL,8,Dublin,OPEN
Hardwicke Place,61,25,True,25,"{'lat': 53.357043, 'lng': -6.263232}",1521488032000,False,HARDWICKE PLACE,0,Dublin,OPEN
Wolfe Tone Street,77,9,False,29,"{'lat': 53.348875, 'lng': -6.267459}",1521487684000,False,WOLFE TONE STREET,20,Dublin,OPEN
Francis Street,73,12,True,30,"{'lat': 53.342081, 'lng': -6.275233}",1521487807000,False,FRANCIS STREET,18,Dublin,OPEN
Greek Street,4,16,False,20,"{'lat': 53.346874, 'lng': -6.272976}",1521487689000,False,GREEK STREET,4,Dublin,OPEN
Guild Street,49,37,False,40,"{'lat': 53.347932, 'lng': -6.240928}",1521487745000,False,GUILD STREET,3,Dublin,OPEN
Herbert Place,19,15,False,30,"{'lat': 53.334432, 'lng': -6.245575}",1521488027000,False,HERBERT PLACE,15,Dublin,OPEN
High Street,7,14,True,29,"{'lat': 53.343565, 'lng': -6.275071}",1521487665000,False,HIGH STREET,15,Dublin,OPEN
North Circular Road,60,18,True,30,"{'lat': 53.359624, 'lng': -6.260348}",1521488044000,False,NORTH CIRCULAR ROAD,12,Dublin,OPEN
Western Way,102,33,False,40,"{'lat': 53.354929, 'lng': -6.269425}",1521487957000,False,WESTERN WAY,7,Dublin,OPEN
Talbot Street,38,14,False,40,"{'lat': 53.350974, 'lng': -6.25294}",1521487818000,False,TALBOT STREET,26,Dublin,OPEN
Newman House,53,31,False,40,"{'lat': 53.337132, 'lng': -6.26059}",1521487640000,False,NEWMAN HOUSE,9,Dublin,OPEN
Sir Patrick's Dun,58,21,True,40,"{'lat': 53.339218, 'lng': -6.240642}",1521488037000,False,SIR PATRICK DUN'S,19,Dublin,OPEN
New Central Bank,66,33,False,40,"{'lat': 53.347122, 'lng': -6.234749}",1521488068000,False,NEW CENTRAL BANK,7,Dublin,OPEN
King Street North,101,22,False,30,"{'lat': 53.350291, 'lng': -6.273507}",1521488071000,False,KING STREET NORTH,8,Dublin,OPEN
Herbert Street,47,3,False,40,"{'lat': 53.335742, 'lng': -6.24551}",1521487820000,False,HERBERT STREET,37,Dublin,OPEN
Custom House Quay,8,11,False,30,"{'lat': 53.347884, 'lng': -6.248048}",1521488048000,False,CUSTOM HOUSE QUAY,19,Dublin,OPEN
Molesworth Street,27,12,False,20,"{'lat': 53.341288, 'lng': -6.258117}",1521487707000,False,MOLESWORTH STREET,8,Dublin,OPEN
Georges Quay,16,4,False,20,"{'lat': 53.347508, 'lng': -6.252192}",1521487834000,False,GEORGES QUAY,16,Dublin,OPEN
Kilmainham Lane,96,29,False,30,"{'lat': 53.341805, 'lng': -6.305085}",1521487906000,False,KILMAINHAM LANE,1,Dublin,OPEN
Mount Brown,82,13,False,22,"{'lat': 53.341645, 'lng': -6.29719}",1521488097000,False,MOUNT BROWN,9,Dublin,OPEN
Market Street South,76,28,False,38,"{'lat': 53.342296, 'lng': -6.287661}",1521488120000,False,MARKET STREET SOUTH,10,Dublin,OPEN
Kevin Street,71,21,True,40,"{'lat': 53.337757, 'lng': -6.267699}",1521487609000,False,KEVIN STREET,19,Dublin,OPEN
Eccles Street East,79,26,False,27,"{'lat': 53.358115, 'lng': -6.265601}",1521488124000,False,ECCLES STREET EAST,1,Dublin,OPEN
Grand Canal Dock,69,1,False,40,"{'lat': 53.342638, 'lng': -6.238695}",1521487859000,False,GRAND CANAL DOCK,39,Dublin,OPEN
Merrion Square East,25,0,False,30,"{'lat': 53.339434, 'lng': -6.246548}",1521487679000,False,MERRION SQUARE EAST,30,Dublin,CLOSED
York Street West,51,22,False,40,"{'lat': 53.339334, 'lng': -6.264699}",1521487780000,False,YORK STREET WEST,18,Dublin,OPEN
St. Stephen's Green South,37,25,True,30,"{'lat': 53.337494, 'lng': -6.26199}",1521487993000,False,ST. STEPHEN'S GREEN SOUTH,5,Dublin,OPEN
Denmark Street Great,59,20,False,20,"{'lat': 53.35561, 'lng': -6.261397}",1521487935000,False,DENMARK STREET GREAT,0,Dublin,OPEN
Royal Hospital,95,33,True,40,"{'lat': 53.343897, 'lng': -6.29706}",1521487603000,False,ROYAL HOSPITAL,7,Dublin,OPEN
Heuston Station (Car Park),94,17,False,40,"{'lat': 53.346985, 'lng': -6.297804}",1521487906000,False,HEUSTON STATION (CAR PARK),23,Dublin,OPEN
St. Stephen's Green East,36,19,True,40,"{'lat': 53.337824, 'lng': -6.256035}",1521487799000,False,ST. STEPHEN'S GREEN EAST,21,Dublin,OPEN
Heuston Station (Central),93,0,False,40,"{'lat': 53.346603, 'lng': -6.296924}",1521488033000,False,HEUSTON STATION (CENTRAL),40,Dublin,OPEN
Townsend Street,22,15,False,20,"{'lat': 53.345922, 'lng': -6.254614}",1521487711000,False,TOWNSEND STREET,5,Dublin,OPEN
Eccles Street,12,17,False,20,"{'lat': 53.359246, 'lng': -6.269779}",1521487744000,False,ECCLES STREET,2,Dublin,OPEN
Portobello Harbour,34,0,False,30,"{'lat': 53.330362, 'lng': -6.265163}",1521488133000,False,PORTOBELLO HARBOUR,30,Dublin,OPEN
Mater Hospital,78,35,False,40,"{'lat': 53.359967, 'lng': -6.264828}",1521487882000,False,MATER HOSPITAL,5,Dublin,OPEN
Blessington Street,2,20,True,20,"{'lat': 53.356769, 'lng': -6.26814}",1521487668000,False,BLESSINGTON STREET,0,Dublin,OPEN
James Street,75,40,True,40,"{'lat': 53.343456, 'lng': -6.287409}",1521487910000,False,JAMES STREET,0,Dublin,OPEN
Merrion Square West,26,15,True,20,"{'lat': 53.339764, 'lng': -6.251988}",1521487923000,False,MERRION SQUARE WEST,5,Dublin,CLOSED
Convention Centre,65,40,True,40,"{'lat': 53.34744, 'lng': -6.238523}",1521487894000,False,CONVENTION CENTRE,0,Dublin,OPEN
Hardwicke Street,15,16,False,16,"{'lat': 53.355473, 'lng': -6.264423}",1521487732000,False,HARDWICKE STREET,0,Dublin,OPEN
Parkgate Street,86,30,True,38,"{'lat': 53.347972, 'lng': -6.291804}",1521487727000,False,PARKGATE STREET,8,Dublin,OPEN
Smithfield,35,21,False,30,"{'lat': 53.347692, 'lng': -6.278214}",1521487953000,False,SMITHFIELD,9,Dublin,OPEN
Dame Street,10,4,True,16,"{'lat': 53.344007, 'lng': -6.266802}",1521487724000,False,DAME STREET,12,Dublin,OPEN
Heuston Bridge (South),100,22,False,25,"{'lat': 53.347106, 'lng': -6.292041}",1521487939000,False,HEUSTON BRIDGE (SOUTH),3,Dublin,OPEN
Cathal Brugha Street,24,10,False,20,"{'lat': 53.352149, 'lng': -6.260533}",1521487982000,False,CATHAL BRUGHA STREET,9,Dublin,OPEN
Sandwith Street,64,0,True,40,"{'lat': 53.345203, 'lng': -6.247163}",1521487943000,False,SANDWITH STREET,0,Dublin,CLOSED
Rothe Abbey,85,31,True,35,"{'lat': 53.338776, 'lng': -6.30395}",1521488005000,False,ROTHE ABBEY,4,Dublin,OPEN
Princes Street / O'Connell Street,33,2,True,23,"{'lat': 53.349013, 'lng': -6.260311}",1521487869000,False,PRINCES STREET / O'CONNELL STREET,21,Dublin,OPEN
Upper Sherrard Street,44,24,False,30,"{'lat': 53.358437, 'lng': -6.260641}",1521487567000,False,UPPER SHERRARD STREET,6,Dublin,OPEN
Fitzwilliam Square East,89,0,True,40,"{'lat': 53.335211, 'lng': -6.2509}",1521487618000,False,FITZWILLIAM SQUARE EAST,0,Dublin,CLOSED
Grattan Street,57,10,False,23,"{'lat': 53.339629, 'lng': -6.243778}",1521487612000,False,GRATTAN STREET,13,Dublin,OPEN
St James Hospital (Luas),80,38,False,40,"{'lat': 53.341359, 'lng': -6.292951}",1521487588000,False,ST JAMES HOSPITAL (LUAS),2,Dublin,OPEN
Harcourt Terrace,41,18,False,20,"{'lat': 53.332763, 'lng': -6.257942}",1521487549000,False,HARCOURT TERRACE,2,Dublin,OPEN
Bolton Street,3,11,False,20,"{'lat': 53.351182, 'lng': -6.269859}",1521487857000,False,BOLTON STREET,9,Dublin,OPEN
Strand Street Great,46,1,True,35,"{'lat': 53.347082, 'lng': -6.264192}",1521487604000,False,STRAND STREET GREAT,34,Dublin,OPEN
Jervis Street,40,7,True,21,"{'lat': 53.3483, 'lng': -6.266651}",1521487784000,False,JERVIS STREET,14,Dublin,OPEN
Ormond Quay Upper,29,2,True,29,"{'lat': 53.346057, 'lng': -6.268001}",1521487674000,False,ORMOND QUAY UPPER,27,Dublin,OPEN
Barrow Street,70,5,True,40,"{'lat': 53.341655, 'lng': -6.236198}",1521488137000,False,BARROW STREET,35,Dublin,OPEN
Mountjoy Square West,28,26,False,30,"{'lat': 53.356299, 'lng': -6.258586}",1521487916000,False,MOUNTJOY SQUARE WEST,4,Dublin,OPEN
Wilton Terrace,39,16,True,20,"{'lat': 53.332383, 'lng': -6.252717}",1521487930000,False,WILTON TERRACE,4,Dublin,OPEN
Emmet Road,83,32,False,40,"{'lat': 53.340714, 'lng': -6.308191}",1521487965000,False,EMMET ROAD,8,Dublin,OPEN
Heuston Bridge (North),92,6,False,40,"{'lat': 53.347802, 'lng': -6.292432}",1521488059000,False,HEUSTON BRIDGE (NORTH),34,Dublin,OPEN
Leinster Street South,21,8,False,30,"{'lat': 53.34218, 'lng': -6.254485}",1521488009000,False,LEINSTER STREET SOUTH,22,Dublin,OPEN
Blackhall Place,88,28,False,30,"{'lat': 53.3488, 'lng': -6.281637}",1521487615000,False,BLACKHALL PLACE,2,Dublin,OPEN
address,number,available_bike_stands,banking,bike_stands,position,last_update,bonus,name,available_bikes,contract_name,status
Smithfield North,42,17,True,30,"{'lat': 53.349562, 'lng': -6.278198}",1521488215000,False,SMITHFIELD NORTH,13,Dublin,OPEN
Parnell Square North,30,18,True,20,"{'lat': 53.353462, 'lng': -6.265305}",1521488116000,False,PARNELL SQUARE NORTH,2,Dublin,OPEN
Clonmel Street,54,11,False,33,"{'lat': 53.336021, 'lng': -6.26298}",1521488103000,False,CLONMEL STREET,22,Dublin,OPEN
Mount Street Lower,56,1,False,40,"{'lat': 53.33796, 'lng': -6.24153}",1521487965000,False,MOUNT STREET LOWER,39,Dublin,OPEN
Christchurch Place,6,2,False,20,"{'lat': 53.343368, 'lng': -6.27012}",1521488261000,False,CHRISTCHURCH PLACE,18,Dublin,OPEN
Grantham Street,18,0,True,30,"{'lat': 53.334123, 'lng': -6.265436}",1521488130000,False,GRANTHAM STREET,30,Dublin,OPEN
Pearse Street,32,26,True,30,"{'lat': 53.344304, 'lng': -6.250427}",1521488352000,False,PEARSE STREET,4,Dublin,OPEN
York Street East,52,31,False,32,"{'lat': 53.338755, 'lng': -6.262003}",1521488412000,False,YORK STREET EAST,1,Dublin,OPEN
Excise Walk,48,22,False,40,"{'lat': 53.347777, 'lng': -6.244239}",1521487994000,False,EXCISE WALK,18,Dublin,OPEN
Fitzwilliam Square West,13,7,False,30,"{'lat': 53.336074, 'lng': -6.252825}",1521487959000,False,FITZWILLIAM SQUARE WEST,23,Dublin,OPEN
Portobello Road,43,11,True,30,"{'lat': 53.330091, 'lng': -6.268044}",1521488300000,False,PORTOBELLO ROAD,19,Dublin,OPEN
St. James Hospital (Central),81,34,False,40,"{'lat': 53.339983, 'lng': -6.295594}",1521488202000,False,ST. JAMES HOSPITAL (CENTRAL),6,Dublin,OPEN
Parnell Street,31,19,False,20,"{'lat': 53.350929, 'lng': -6.265125}",1521488057000,False,PARNELL STREET,1,Dublin,OPEN
Frederick Street South,98,21,True,30,"{'lat': 53.341515, 'lng': -6.256853}",1521487830000,False,FREDERICK STREET SOUTH,9,Dublin,OPEN
Fownes Street Upper,14,9,False,30,"{'lat': 53.344603, 'lng': -6.263371}",1521488405000,False,FOWNES STREET UPPER,21,Dublin,OPEN
Clarendon Row,1,14,False,31,"{'lat': 53.340927, 'lng': -6.262501}",1521488218000,False,CLARENDON ROW,17,Dublin,OPEN
Custom House,23,0,True,30,"{'lat': 53.348279, 'lng': -6.254662}",1521488427000,False,CUSTOM HOUSE,30,Dublin,CLOSED
Hanover Quay,68,21,True,40,"{'lat': 53.344115, 'lng': -6.237153}",1521487950000,False,HANOVER QUAY,19,Dublin,OPEN
Oliver Bond Street,74,23,False,30,"{'lat': 53.343893, 'lng': -6.280531}",1521488082000,False,OLIVER BOND STREET,7,Dublin,OPEN
Collins Barracks Museum,87,32,True,38,"{'lat': 53.347477, 'lng': -6.28525}",1521487975000,False,COLLINS BARRACKS MUSEUM,6,Dublin,OPEN
Brookfield Road,84,25,False,30,"{'lat': 53.339005, 'lng': -6.300217}",1521488386000,False,BROOKFIELD ROAD,5,Dublin,OPEN
Benson Street,90,0,False,40,"{'lat': 53.344153, 'lng': -6.233451}",1521488182000,False,BENSON STREET,0,Dublin,CLOSED
Earlsfort Terrace,11,29,False,30,"{'lat': 53.334019, 'lng': -6.258371}",1521488330000,False,EARLSFORT TERRACE,1,Dublin,OPEN
Golden Lane,17,6,False,20,"{'lat': 53.340803, 'lng': -6.267732}",1521488242000,False,GOLDEN LANE,14,Dublin,OPEN
Deverell Place,45,19,False,30,"{'lat': 53.351464, 'lng': -6.255265}",1521487960000,False,DEVERELL PLACE,11,Dublin,OPEN
John Street West,72,8,False,31,"{'lat': 53.343105, 'lng': -6.277167}",1521487982000,False,JOHN STREET WEST,23,Dublin,OPEN
Fenian Street,63,0,False,35,"{'lat': 53.341428, 'lng': -6.24672}",1521488155000,False,FENIAN STREET,35,Dublin,OPEN
South Dock Road,91,1,False,30,"{'lat': 53.341833, 'lng': -6.231291}",1521488185000,False,SOUTH DOCK ROAD,29,Dublin,OPEN
City Quay,99,22,False,30,"{'lat': 53.346637, 'lng': -6.246154}",1521488429000,False,CITY QUAY,8,Dublin,OPEN
Exchequer Street,9,1,False,24,"{'lat': 53.343034, 'lng': -6.263578}",1521488435000,False,EXCHEQUER STREET,23,Dublin,OPEN
The Point,67,19,False,40,"{'lat': 53.346867, 'lng': -6.230852}",1521487850000,False,THE POINT,21,Dublin,OPEN
Hatch Street,55,34,False,36,"{'lat': 53.33403, 'lng': -6.260714}",1521488259000,False,HATCH STREET,2,Dublin,OPEN
Lime Street,62,20,False,40,"{'lat': 53.346026, 'lng': -6.243576}",1521488400000,False,LIME STREET,20,Dublin,OPEN
Charlemont Street,5,33,False,40,"{'lat': 53.330662, 'lng': -6.260177}",1521488389000,False,CHARLEMONT PLACE,7,Dublin,OPEN
Kilmainham Gaol,97,32,True,40,"{'lat': 53.342113, 'lng': -6.310015}",1521488153000,False,KILMAINHAM GAOL,8,Dublin,OPEN
Hardwicke Place,61,25,True,25,"{'lat': 53.357043, 'lng': -6.263232}",1521488032000,False,HARDWICKE PLACE,0,Dublin,OPEN
Wolfe Tone Street,77,9,False,29,"{'lat': 53.348875, 'lng': -6.267459}",1521488431000,False,WOLFE TONE STREET,20,Dublin,OPEN
Francis Street,73,11,True,30,"{'lat': 53.342081, 'lng': -6.275233}",1521488292000,False,FRANCIS STREET,19,Dublin,OPEN
Greek Street,4,16,False,20,"{'lat': 53.346874, 'lng': -6.272976}",1521488298000,False,GREEK STREET,4,Dublin,OPEN
Guild Street,49,37,False,40,"{'lat': 53.347932, 'lng': -6.240928}",1521488355000,False,GUILD STREET,3,Dublin,OPEN
Herbert Place,19,14,False,30,"{'lat': 53.334432, 'lng': -6.245575}",1521488299000,False,HERBERT PLACE,16,Dublin,OPEN
High Street,7,11,True,29,"{'lat': 53.343565, 'lng': -6.275071}",1521488373000,False,HIGH STREET,18,Dublin,OPEN
North Circular Road,60,18,True,30,"{'lat': 53.359624, 'lng': -6.260348}",1521488414000,False,NORTH CIRCULAR ROAD,12,Dublin,OPEN
Western Way,102,33,False,40,"{'lat': 53.354929, 'lng': -6.269425}",1521487957000,False,WESTERN WAY,7,Dublin,OPEN
Talbot Street,38,14,False,40,"{'lat': 53.350974, 'lng': -6.25294}",1521488428000,False,TALBOT STREET,26,Dublin,OPEN
Newman House,53,30,False,40,"{'lat': 53.337132, 'lng': -6.26059}",1521488289000,False,NEWMAN HOUSE,10,Dublin,OPEN
Sir Patrick's Dun,58,21,True,40,"{'lat': 53.339218, 'lng': -6.240642}",1521488037000,False,SIR PATRICK DUN'S,19,Dublin,OPEN
New Central Bank,66,33,False,40,"{'lat': 53.347122, 'lng': -6.234749}",1521488068000,False,NEW CENTRAL BANK,7,Dublin,OPEN
King Street North,101,22,False,30,"{'lat': 53.350291, 'lng': -6.273507}",1521488071000,False,KING STREET NORTH,8,Dublin,OPEN
Herbert Street,47,3,False,40,"{'lat': 53.335742, 'lng': -6.24551}",1521488429000,False,HERBERT STREET,37,Dublin,OPEN
Custom House Quay,8,11,False,30,"{'lat': 53.347884, 'lng': -6.248048}",1521488380000,False,CUSTOM HOUSE QUAY,19,Dublin,OPEN
Molesworth Street,27,12,False,20,"{'lat': 53.341288, 'lng': -6.258117}",1521488316000,False,MOLESWORTH STREET,8,Dublin,OPEN
Georges Quay,16,4,False,20,"{'lat': 53.347508, 'lng': -6.252192}",1521487834000,False,GEORGES QUAY,16,Dublin,OPEN
Kilmainham Lane,96,29,False,30,"{'lat': 53.341805, 'lng': -6.305085}",1521487906000,False,KILMAINHAM LANE,1,Dublin,OPEN
Mount Brown,82,13,False,22,"{'lat': 53.341645, 'lng': -6.29719}",1521488097000,False,MOUNT BROWN,9,Dublin,OPEN
Market Street South,76,28,False,38,"{'lat': 53.342296, 'lng': -6.287661}",1521488145000,False,MARKET STREET SOUTH,10,Dublin,OPEN
Kevin Street,71,22,True,40,"{'lat': 53.337757, 'lng': -6.267699}",1521488217000,False,KEVIN STREET,18,Dublin,OPEN
Eccles Street East,79,26,False,27,"{'lat': 53.358115, 'lng': -6.265601}",1521488124000,False,ECCLES STREET EAST,1,Dublin,OPEN
Grand Canal Dock,69,1,False,40,"{'lat': 53.342638, 'lng': -6.238695}",1521488306000,False,GRAND CANAL DOCK,39,Dublin,OPEN
Merrion Square East,25,0,False,30,"{'lat': 53.339434, 'lng': -6.246548}",1521488288000,False,MERRION SQUARE EAST,30,Dublin,CLOSED
York Street West,51,22,False,40,"{'lat': 53.339334, 'lng': -6.264699}",1521488389000,False,YORK STREET WEST,18,Dublin,OPEN
St. Stephen's Green South,37,25,True,30,"{'lat': 53.337494, 'lng': -6.26199}",1521487993000,False,ST. STEPHEN'S GREEN SOUTH,5,Dublin,OPEN
Denmark Street Great,59,20,False,20,"{'lat': 53.35561, 'lng': -6.261397}",1521487935000,False,DENMARK STREET GREAT,0,Dublin,OPEN
Royal Hospital,95,32,True,40,"{'lat': 53.343897, 'lng': -6.29706}",1521488183000,False,ROYAL HOSPITAL,8,Dublin,OPEN
Heuston Station (Car Park),94,17,False,40,"{'lat': 53.346985, 'lng': -6.297804}",1521487906000,False,HEUSTON STATION (CAR PARK),23,Dublin,OPEN
St. Stephen's Green East,36,19,True,40,"{'lat': 53.337824, 'lng': -6.256035}",1521488409000,False,ST. STEPHEN'S GREEN EAST,21,Dublin,OPEN
Heuston Station (Central),93,0,False,40,"{'lat': 53.346603, 'lng': -6.296924}",1521488033000,False,HEUSTON STATION (CENTRAL),40,Dublin,OPEN
Townsend Street,22,16,False,20,"{'lat': 53.345922, 'lng': -6.254614}",1521488320000,False,TOWNSEND STREET,4,Dublin,OPEN
Eccles Street,12,17,False,20,"{'lat': 53.359246, 'lng': -6.269779}",1521488353000,False,ECCLES STREET,2,Dublin,OPEN
Portobello Harbour,34,0,False,30,"{'lat': 53.330362, 'lng': -6.265163}",1521488133000,False,PORTOBELLO HARBOUR,30,Dublin,OPEN
Mater Hospital,78,35,False,40,"{'lat': 53.359967, 'lng': -6.264828}",1521487882000,False,MATER HOSPITAL,5,Dublin,OPEN
Blessington Street,2,20,True,20,"{'lat': 53.356769, 'lng': -6.26814}",1521488277000,False,BLESSINGTON STREET,0,Dublin,OPEN
James Street,75,40,True,40,"{'lat': 53.343456, 'lng': -6.287409}",1521487910000,False,JAMES STREET,0,Dublin,OPEN
Merrion Square West,26,15,True,20,"{'lat': 53.339764, 'lng': -6.251988}",1521487923000,False,MERRION SQUARE WEST,5,Dublin,CLOSED
Convention Centre,65,40,True,40,"{'lat': 53.34744, 'lng': -6.238523}",1521487894000,False,CONVENTION CENTRE,0,Dublin,OPEN
Hardwicke Street,15,16,False,16,"{'lat': 53.355473, 'lng': -6.264423}",1521488341000,False,HARDWICKE STREET,0,Dublin,OPEN
Parkgate Street,86,29,True,38,"{'lat': 53.347972, 'lng': -6.291804}",1521488435000,False,PARKGATE STREET,9,Dublin,OPEN
Smithfield,35,20,False,30,"{'lat': 53.347692, 'lng': -6.278214}",1521488201000,False,SMITHFIELD,10,Dublin,OPEN
Dame Street,10,4,True,16,"{'lat': 53.344007, 'lng': -6.266802}",1521488333000,False,DAME STREET,12,Dublin,OPEN
Heuston Bridge (South),100,22,False,25,"{'lat': 53.347106, 'lng': -6.292041}",1521487939000,False,HEUSTON BRIDGE (SOUTH),3,Dublin,OPEN
Cathal Brugha Street,24,10,False,20,"{'lat': 53.352149, 'lng': -6.260533}",1521487982000,False,CATHAL BRUGHA STREET,9,Dublin,OPEN
Sandwith Street,64,0,True,40,"{'lat': 53.345203, 'lng': -6.247163}",1521487943000,False,SANDWITH STREET,0,Dublin,CLOSED
Rothe Abbey,85,31,True,35,"{'lat': 53.338776, 'lng': -6.30395}",1521488005000,False,ROTHE ABBEY,4,Dublin,OPEN
Princes Street / O'Connell Street,33,2,True,23,"{'lat': 53.349013, 'lng': -6.260311}",1521488409000,False,PRINCES STREET / O'CONNELL STREET,21,Dublin,OPEN
Upper Sherrard Street,44,26,False,30,"{'lat': 53.358437, 'lng': -6.260641}",1521488423000,False,UPPER SHERRARD STREET,4,Dublin,OPEN
Fitzwilliam Square East,89,0,True,40,"{'lat': 53.335211, 'lng': -6.2509}",1521488226000,False,FITZWILLIAM SQUARE EAST,0,Dublin,CLOSED
Grattan Street,57,9,False,23,"{'lat': 53.339629, 'lng': -6.243778}",1521488162000,False,GRATTAN STREET,14,Dublin,OPEN
