address,number,available_bike_stands,banking,bike_stands,position,last_update,bonus,name,available_bikes,contract_name,status
Grantham Street,18,1,True,30,"{'lat': 53.334123, 'lng': -6.265436}",1521485998000,False,GRANTHAM STREET,29,Dublin,OPEN
Pearse Street,32,22,True,30,"{'lat': 53.344304, 'lng': -6.250427}",1521485909000,False,PEARSE STREET,8,Dublin,OPEN
York Street East,52,29,False,32,"{'lat': 53.338755, 'lng': -6.262003}",1521485804000,False,YORK STREET EAST,3,Dublin,OPEN
Excise Walk,48,24,False,40,"{'lat': 53.347777, 'lng': -6.244239}",1521485940000,False,EXCISE WALK,16,Dublin,OPEN
Fitzwilliam Square West,13,8,False,30,"{'lat': 53.336074, 'lng': -6.252825}",1521485814000,False,FITZWILLIAM SQUARE WEST,22,Dublin,OPEN
Portobello Road,43,13,True,30,"{'lat': 53.330091, 'lng': -6.268044}",1521485988000,False,PORTOBELLO ROAD,17,Dublin,OPEN
St. James Hospital (Central),81,34,False,40,"{'lat': 53.339983, 'lng': -6.295594}",1521485765000,False,ST. JAMES HOSPITAL (CENTRAL),6,Dublin,OPEN
Parnell Street,31,17,False,20,"{'lat': 53.350929, 'lng': -6.265125}",1521485878000,False,PARNELL STREET,3,Dublin,OPEN
Frederick Street South,98,20,True,30,"{'lat': 53.341515, 'lng': -6.256853}",1521485713000,False,FREDERICK STREET SOUTH,10,Dublin,OPEN
Fownes Street Upper,14,4,False,30,"{'lat': 53.344603, 'lng': -6.263371}",1521485695000,False,FOWNES STREET UPPER,26,Dublin,OPEN
Clarendon Row,1,7,False,31,"{'lat': 53.340927, 'lng': -6.262501}",1521485806000,False,CLARENDON ROW,24,Dublin,OPEN
Custom House,23,0,True,30,"{'lat': 53.348279, 'lng': -6.254662}",1521485991000,False,CUSTOM HOUSE,30,Dublin,CLOSED
Hanover Quay,68,22,True,40,"{'lat': 53.344115, 'lng': -6.237153}",1521486022000,False,HANOVER QUAY,18,Dublin,OPEN
Oliver Bond Street,74,24,False,30,"{'lat': 53.343893, 'lng': -6.280531}",1521485590000,False,OLIVER BOND STREET,6,Dublin,OPEN
